gaji_bulanan,otonomi_proyek,skor_inovasi,jam_fokus_mendalam,kolaborasi_lintas_tim,kinerja_karyawan
28.406258552934347,0.524321884152543,3,13,Sangat Baik,7.294954299038885
19.63720598748938,0.6327821791632006,5,8,Baik,6.6023508162920255
20.934292036165587,0.4708656119751632,2,15,Cukup,6.163561976616982
20.261471771053674,0.6521706606170005,2,6,Sangat Baik,6.008326137131714
19.037914373808135,0.10208066981711822,2,12,Baik,3.815483746716796
13.574084951830034,0.8345778547517818,4,6,Cukup,6.137557693216802
9.774345983324043,0.2787792433917615,3,8,Sangat Baik,5.3579559786799775
6.65319821898918,0.1997814644129839,6,13,Baik,5.455090658383565
21.20320551105144,0.8283915753704764,3,6,Cukup,6.849072873538277
14.84802075242862,0.823451553893388,2,10,Sangat Baik,5.844409886717062
18.643036053021735,0.5925743732760594,3,4,Baik,5.839042132690353
17.98226440982541,0.4377278681679191,8,11,Cukup,6.554995228934057
14.84244668221765,0.5229065000775698,8,17,Sangat Baik,6.488917064341661
17.194346154131704,0.8528720503480521,9,14,Baik,8.431164439860183
16.752706492251697,0.36718646015885825,3,5,Cukup,4.9059661937648285
16.84565309743742,0.6792094259744326,9,11,Sangat Baik,7.3636521381327
15.457250120497982,0.5118196970102497,4,8,Baik,5.765466817711241
27.524545298812725,0.4732274928236986,8,9,Cukup,7.521340018378725
13.797521402110512,0.3123570502898284,6,13,Sangat Baik,6.355878617520006
17.643891777691774,0.568612750106728,7,19,Baik,8.035074896195969
20.19782937551029,0.20657229278183942,2,17,Cukup,5.576901711561378
28.573766692741657,0.13152427124868332,1,5,Sangat Baik,4.6320608985113605
14.834145875213277,0.5277349673896253,5,8,Baik,6.012362534097658
18.245465010755805,0.5641494018335355,2,5,Cukup,4.815636463812792
16.771443530626783,0.346073614756233,2,9,Sangat Baik,5.4311566099485935
22.63088296381766,0.47239784939952867,7,16,Baik,8.012067362692134
8.888442324726325,0.7322770054633585,1,7,Cukup,4.541482883986983
23.082576017209455,0.308556623666944,1,14,Sangat Baik,5.398613939109851
15.06690372648024,0.8077389572509287,1,6,Baik,5.1262425682191495
22.511670569592283,0.8160100162028462,5,10,Cukup,7.50813940444166
19.648415244651833,0.6083354762038984,5,15,Sangat Baik,7.103170798914172
12.011514686289726,0.1885384420853693,7,19,Baik,5.71048170210061
22.04010211265641,0.817135249433537,2,13,Cukup,7.438951237110526
