gaji_bulanan,jam_kerja_fleksibel,dapat_pujian_publik,peluang_training,lingkungan_kerja,kinerja_karyawan
7.002699916578973,0,1,3,Kolaboratif,5.566447993697633
14.99810123335384,1,0,2,Mendukung,5.988128949024839
12.78020244791175,1,0,4,Biasa,6.066568509511973
12.451811459684025,1,0,1,Kolaboratif,4.737045207919745
13.075833661250197,1,0,4,Mendukung,5.620276488710509
15.32633915427806,1,1,5,Biasa,9.332067753943155
9.950258519562585,1,0,1,Kolaboratif,4.816349446257881
10.410015410073314,1,0,5,Mendukung,7.342995037757478
14.897710921922855,0,1,4,Biasa,8.419621576282985
7.670856478540799,1,1,3,Kolaboratif,7.559139729997651
10.42212221689865,0,1,2,Mendukung,6.477803245891836
14.548564195567282,1,1,5,Biasa,9.35560048018291
10.469176508507136,1,0,1,Kolaboratif,5.71407541606182
9.375987703855325,0,1,1,Mendukung,6.507310131584108
14.293490431935773,1,0,1,Biasa,5.632983081745681
7.872867778374542,1,1,5,Kolaboratif,8.881426664193997
11.1051521419497,1,1,5,Mendukung,8.93922339830373
9.880741097974816,1,1,4,Biasa,8.86082729420335
10.63641395930989,1,0,3,Kolaboratif,5.467518304474746
12.470522719355236,1,1,5,Mendukung,9.326901981273455
15.743196816625836,1,1,3,Biasa,8.06417220467988
13.377305540099428,1,0,1,Kolaboratif,5.175553183290698
12.402879807179282,1,0,4,Mendukung,6.997218746114065
11.145429602228404,1,1,2,Biasa,7.930723756947096
10.821695582328264,0,0,2,Kolaboratif,4.025363454814783
13.484481482713292,1,0,3,Mendukung,5.865966031429929
12.447544665518235,1,1,1,Biasa,7.249492837581181
11.542157201630335,1,0,3,Kolaboratif,5.848880510753549
11.094446281512774,1,1,2,Mendukung,7.561224383535265
10.756103095703494,1,1,1,Biasa,7.895511998839724
11.047101770982128,1,1,4,Kolaboratif,8.277823576829173
13.011588981478907,0,0,5,Mendukung,5.873148586400129
9.766765897829966,0,1,2,Biasa,5.69735132197267
11.32362148918134,1,1,3,Kolaboratif,7.577089300616197
11.82550633287065,1,0,5,Mendukung,7.389536379944652
13.636918945036575,0,1,4,Biasa,7.9881149460131065
11.651948883358719,0,0,2,Kolaboratif,4.357518762029875
13.49065636056476,0,1,4,Mendukung,7.773154504338937
9.011593657013403,1,0,3,Biasa,6.236154896532061
12.165128061703058,1,1,2,Kolaboratif,8.184087102396083
9.50413396904107,1,1,4,Mendukung,8.279385142522154
12.780860972697743,1,0,4,Biasa,7.8411130163463785
13.044022520021068,1,0,3,Kolaboratif,6.3497932041028555
11.83049387135908,0,1,1,Mendukung,5.578243534657398
9.439697439039858,1,1,4,Biasa,8.454210207310766
13.000146037868063,1,1,2,Kolaboratif,8.122750997056505
